ID,value
Fund 1-Fund 2,0.7168969
Fund 1-Fund 3,0.75541806
Fund 1-Fund 4,0.7671422
Fund 1-Fund 5,0.81586754
Fund 1-Fund 6,0.74300814
Fund 1-Fund 7,0.75048274
Fund 1-Fund 8,0.78003466
Fund 1-Fund 9,0.766596
Fund 1-Fund 10,0.76320297
Fund 1-Fund 11,0.72420985
Fund 1-Fund 12,0.74161637
Fund 1-Fund 13,0.8035064
Fund 1-Fund 14,0.793903
Fund 1-Fund 15,0.73839796
Fund 1-Fund 16,0.7804973
Fund 1-Fund 17,0.77912974
Fund 1-Fund 18,0.7469093
Fund 1-Fund 19,0.7496836
Fund 1-Fund 20,0.7125976
Fund 1-Fund 21,0.7525982
Fund 1-Fund 22,0.74334836
Fund 1-Fund 23,0.7567811
Fund 1-Fund 24,0.7457032
Fund 1-Fund 25,0.7825088
Fund 1-Fund 26,0.7463287
Fund 1-Fund 27,0.75670785
Fund 1-Fund 28,0.8283249
Fund 1-Fund 29,0.7476262
Fund 1-Fund 30,0.69276106
Fund 1-Fund 31,0.76253563
Fund 1-Fund 32,0.76452875
Fund 1-Fund 33,0.7718826
Fund 1-Fund 34,0.6654362
Fund 1-Fund 35,0.7352601
Fund 1-Fund 36,0.71238065
Fund 1-Fund 37,0.67601043
Fund 1-Fund 38,0.7823571
Fund 1-Fund 39,0.7380434
Fund 1-Fund 40,0.7405236
Fund 1-Fund 41,0.79610556
Fund 1-Fund 42,0.7468424
Fund 1-Fund 43,0.70377696
Fund 1-Fund 44,0.7421082
Fund 1-Fund 45,0.7936601
Fund 1-Fund 46,0.75659186
Fund 1-Fund 47,0.7778527
Fund 1-Fund 48,0.73294616
Fund 1-Fund 49,0.7653563
Fund 1-Fund 50,0.7706885
Fund 1-Fund 51,0.7942517
Fund 1-Fund 52,0.75474703
Fund 1-Fund 53,0.75439864
Fund 1-Fund 54,0.8250352
Fund 1-Fund 55,0.755573
Fund 1-Fund 56,0.7805057
Fund 1-Fund 57,0.74999946
Fund 1-Fund 58,0.7783383
Fund 1-Fund 59,0.77350134
Fund 1-Fund 60,0.8144083
Fund 1-Fund 61,0.7627245
Fund 1-Fund 62,0.8006401
Fund 1-Fund 63,0.78236645
Fund 1-Fund 64,0.80361086
Fund 1-Fund 65,0.7572004
Fund 1-Fund 66,0.77697855
Fund 1-Fund 67,0.8005067
Fund 1-Fund 68,0.77195
Fund 1-Fund 69,0.7365971
Fund 1-Fund 70,0.7753693
Fund 1-Fund 71,0.7837143
Fund 1-Fund 72,0.757806
Fund 1-Fund 73,0.7661046
Fund 1-Fund 74,0.7670805
Fund 1-Fund 75,0.7811436
Fund 1-Fund 76,0.76628727
Fund 1-Fund 77,0.77695143
Fund 1-Fund 78,0.7823573
Fund 1-Fund 79,0.7703353
Fund 1-Fund 80,0.7304163
Fund 1-Fund 81,0.7613831
Fund 1-Fund 82,0.71283543
Fund 1-Fund 83,0.7289036
Fund 1-Fund 84,0.74203086
Fund 1-Fund 85,0.77443063
Fund 1-Fund 86,0.7689056
Fund 1-Fund 87,0.78078896
Fund 1-Fund 88,0.791985
Fund 1-Fund 89,0.69049776
Fund 1-Fund 90,0.7531591
Fund 1-Fund 91,0.78084916
Fund 1-Fund 92,0.7406538
Fund 1-Fund 93,0.7868075
Fund 1-Fund 94,0.61241996
Fund 1-Fund 95,0.79644793
Fund 1-Fund 96,0.76942253
