ID,value
Fund 1-Fund 2,0.73668206
Fund 1-Fund 3,0.72268534
Fund 1-Fund 4,0.79142135
Fund 1-Fund 5,0.8372188
Fund 1-Fund 6,0.68897706
Fund 1-Fund 7,0.72269875
Fund 1-Fund 8,0.693397
Fund 1-Fund 9,0.81846505
Fund 1-Fund 10,0.78870845
Fund 1-Fund 11,0.74190295
Fund 1-Fund 12,0.7632782
Fund 1-Fund 13,0.8329044
Fund 1-Fund 14,0.79400104
Fund 1-Fund 15,0.69544125
Fund 1-Fund 16,0.7796989
Fund 1-Fund 17,0.7830458
Fund 1-Fund 18,0.7679266
Fund 1-Fund 19,0.760947
Fund 1-Fund 20,0.7467211
Fund 1-Fund 21,0.7683855
Fund 1-Fund 22,0.74997497
Fund 1-Fund 23,0.7223685
Fund 1-Fund 24,0.69594467
Fund 1-Fund 25,0.7804821
Fund 1-Fund 26,0.7678287
Fund 1-Fund 27,0.64056283
Fund 1-Fund 28,0.8303908
Fund 1-Fund 29,0.72778064
Fund 1-Fund 30,0.71884567
Fund 1-Fund 31,0.7773565
Fund 1-Fund 32,0.6945176
Fund 1-Fund 33,0.8045268
Fund 1-Fund 34,0.5888458
Fund 1-Fund 35,0.7132465
Fund 1-Fund 36,0.62435436
Fund 1-Fund 37,0.6660914
Fund 1-Fund 38,0.7958947
Fund 1-Fund 39,0.7743045
Fund 1-Fund 40,0.6802693
Fund 1-Fund 41,0.84162205
Fund 1-Fund 42,0.71460384
Fund 1-Fund 43,0.7026753
Fund 1-Fund 44,0.7589045
Fund 1-Fund 45,0.7871451
Fund 1-Fund 46,0.7979564
Fund 1-Fund 47,0.79066503
Fund 1-Fund 48,0.6782789
Fund 1-Fund 49,0.75448626
Fund 1-Fund 50,0.7944785
Fund 1-Fund 51,0.802105
Fund 1-Fund 52,0.7554324
Fund 1-Fund 53,0.72650576
Fund 1-Fund 54,0.8280218
Fund 1-Fund 55,0.7592292
Fund 1-Fund 56,0.7469446
Fund 1-Fund 57,0.6986686
Fund 1-Fund 58,0.77914965
Fund 1-Fund 59,0.7845868
Fund 1-Fund 60,0.84261906
Fund 1-Fund 61,0.77373725
Fund 1-Fund 62,0.7994412
Fund 1-Fund 63,0.8017921
Fund 1-Fund 64,0.8088345
Fund 1-Fund 65,0.78536415
Fund 1-Fund 66,0.7504653
Fund 1-Fund 67,0.79792464
Fund 1-Fund 68,0.7009701
Fund 1-Fund 69,0.7517191
Fund 1-Fund 70,0.7305911
Fund 1-Fund 71,0.7423778
Fund 1-Fund 72,0.80859727
Fund 1-Fund 73,0.76339394
Fund 1-Fund 74,0.7811521
Fund 1-Fund 75,0.79919916
Fund 1-Fund 76,0.73603404
Fund 1-Fund 77,0.8263641
Fund 1-Fund 78,0.7802647
Fund 1-Fund 79,0.794015
Fund 1-Fund 80,0.75777704
Fund 1-Fund 81,0.7459641
Fund 1-Fund 82,0.7138305
Fund 1-Fund 83,0.6598077
Fund 1-Fund 84,0.7401502
Fund 1-Fund 85,0.77491075
Fund 1-Fund 86,0.7344943
Fund 1-Fund 87,0.7605884
Fund 1-Fund 88,0.81939024
Fund 1-Fund 89,0.68415356
Fund 1-Fund 90,0.76538545
Fund 1-Fund 91,0.7821649
Fund 1-Fund 92,0.7875212
Fund 1-Fund 93,0.8361953
Fund 1-Fund 94,0.6019787
Fund 1-Fund 95,0.7490554
Fund 1-Fund 96,0.7353371
Fund 1-Fund 97,0.7989042
Fund 1-Fund 98,0.79103905
Fund 1-Fund 99,0.81534606
Fund 1-Fund 100,0.77472645
Fund 1-Fund 101,0.7945458
Fund 1-Fund 102,0.74416435
Fund 1-Fund 103,0.84810627
Fund 1-Fund 104,0.77403665
Fund 1-Fund 105,0.77342004
Fund 1-Fund 106,0.79347247
Fund 1-Fund 107,0.7546594
Fund 1-Fund 108,0.72818434
Fund 1-Fund 109,0.82611424
Fund 1-Fund 110,0.75632656
Fund 1-Fund 111,0.7885972
Fund 1-Fund 112,0.789162
Fund 1-Fund 113,0.7301973
Fund 1-Fund 114,0.81508666
Fund 1-Fund 115,0.7841802
Fund 1-Fund 116,0.75469047
Fund 1-Fund 117,0.7415193
Fund 1-Fund 118,0.7951754
Fund 1-Fund 119,0.7747515
Fund 1-Fund 120,0.76044405
Fund 1-Fund 121,0.8133273
Fund 1-Fund 122,0.81414413
Fund 1-Fund 123,0.7114526
Fund 1-Fund 124,0.78738123
Fund 1-Fund 125,0.72855216
Fund 1-Fund 126,0.76707494
Fund 1-Fund 127,0.7886618
Fund 1-Fund 128,0.69543
Fund 1-Fund 129,0.77938014
Fund 1-Fund 130,0.5928861
Fund 1-Fund 131,0.6981269
Fund 1-Fund 132,0.74030674
Fund 1-Fund 133,0.81790084
Fund 1-Fund 134,0.74730897
Fund 1-Fund 135,0.7810107
Fund 1-Fund 136,0.788275
Fund 1-Fund 137,0.47723386
Fund 1-Fund 138,0.72975135
Fund 1-Fund 139,0.76465595
Fund 1-Fund 140,0.76353085
Fund 1-Fund 141,0.7463304
Fund 1-Fund 142,0.8222652
Fund 1-Fund 143,0.7244242
Fund 1-Fund 144,0.8083424
Fund 1-Fund 145,0.7218985
Fund 1-Fund 146,0.8112392
Fund 1-Fund 147,0.80566984
Fund 1-Fund 148,0.78632534
Fund 1-Fund 149,0.7687192
Fund 1-Fund 150,0.77952206
Fund 1-Fund 151,0.7151225
Fund 1-Fund 152,0.74502206
Fund 1-Fund 153,0.76772004
Fund 1-Fund 154,0.7359508
Fund 1-Fund 155,0.81263834
Fund 1-Fund 156,0.7157002
Fund 1-Fund 157,0.77482116
Fund 1-Fund 158,0.75045455
Fund 1-Fund 159,0.8280302
Fund 1-Fund 160,0.8048864
Fund 1-Fund 161,0.75506467
Fund 1-Fund 162,0.77057797
Fund 1-Fund 163,0.72149193
Fund 1-Fund 164,0.7964344
Fund 1-Fund 165,0.5793646
Fund 1-Fund 166,0.796724
Fund 1-Fund 167,0.76280785
Fund 1-Fund 168,0.76355135
Fund 1-Fund 169,0.71708465
Fund 1-Fund 170,0.75223345
Fund 1-Fund 171,0.7311739
Fund 1-Fund 172,0.7590591
Fund 1-Fund 173,0.73276424
Fund 1-Fund 174,0.7459755
Fund 1-Fund 175,0.69138026
Fund 1-Fund 176,0.72955006
Fund 1-Fund 177,0.7742519
Fund 1-Fund 178,0.7925239
Fund 1-Fund 179,0.75156754
Fund 1-Fund 180,0.79899615
Fund 1-Fund 181,0.78172815
Fund 1-Fund 182,0.7893207
Fund 1-Fund 183,0.75795954
Fund 1-Fund 184,0.74019843
Fund 1-Fund 185,0.770219
Fund 1-Fund 186,0.72687125
Fund 1-Fund 187,0.823265
Fund 1-Fund 188,0.82502675
Fund 1-Fund 189,0.7133177
Fund 1-Fund 190,0.7634662
Fund 1-Fund 191,0.8153288
Fund 1-Fund 192,0.72038084
Fund 1-Fund 193,0.76625574
Fund 1-Fund 194,0.7414812
Fund 1-Fund 195,0.7393516
Fund 1-Fund 196,0.7411408
Fund 1-Fund 197,0.77471745
Fund 1-Fund 198,0.72498363
Fund 1-Fund 199,0.7328159
Fund 1-Fund 200,0.72962505
Fund 2-Fund 3,0.729716
Fund 2-Fund 4,0.7391023
Fund 2-Fund 5,0.8448057
Fund 2-Fund 6,0.7670085
Fund 2-Fund 7,0.8228566
Fund 2-Fund 8,0.8026712
Fund 2-Fund 9,0.85988826
Fund 2-Fund 10,0.8294932
Fund 2-Fund 11,0.8536887
Fund 2-Fund 12,0.8487566
Fund 2-Fund 13,0.8310443
Fund 2-Fund 14,0.7190051
Fund 2-Fund 15,0.7383697
Fund 2-Fund 16,0.78548235
Fund 2-Fund 17,0.80371875
Fund 2-Fund 18,0.769371
Fund 2-Fund 19,0.7463468
Fund 2-Fund 20,0.86514753
Fund 2-Fund 21,0.8598743
Fund 2-Fund 22,0.8056246
Fund 2-Fund 23,0.8311678
Fund 2-Fund 24,0.73849154
Fund 2-Fund 25,0.7718397
Fund 2-Fund 26,0.82817835
Fund 2-Fund 27,0.6979027
Fund 2-Fund 28,0.7737629
Fund 2-Fund 29,0.80704945
Fund 2-Fund 30,0.7651167
Fund 2-Fund 31,0.8136837
Fund 2-Fund 32,0.7544628
Fund 2-Fund 33,0.80746466
Fund 2-Fund 34,0.6991271
Fund 2-Fund 35,0.78451335
Fund 2-Fund 36,0.75585705
Fund 2-Fund 37,0.6366236
Fund 2-Fund 38,0.85149
Fund 2-Fund 39,0.8785741
Fund 2-Fund 40,0.7193545
Fund 2-Fund 41,0.8637038
Fund 2-Fund 42,0.72425634
Fund 2-Fund 43,0.66958445
Fund 2-Fund 44,0.80003613
Fund 2-Fund 45,0.7819333
Fund 2-Fund 46,0.8732647
Fund 2-Fund 47,0.8053197
Fund 2-Fund 48,0.6435574
Fund 2-Fund 49,0.7750728
Fund 2-Fund 50,0.829932
Fund 2-Fund 51,0.7727343
Fund 2-Fund 52,0.76698065
Fund 2-Fund 53,0.6911261
Fund 2-Fund 54,0.80453354
Fund 2-Fund 55,0.8418114
Fund 2-Fund 56,0.8256417
Fund 2-Fund 57,0.66400903
Fund 2-Fund 58,0.7387078
Fund 2-Fund 59,0.81929034
Fund 2-Fund 60,0.80787367
Fund 2-Fund 61,0.8222837
Fund 2-Fund 62,0.8254532
Fund 2-Fund 63,0.76491094
Fund 2-Fund 64,0.7221711
Fund 2-Fund 65,0.8402982
Fund 2-Fund 66,0.6754623
Fund 2-Fund 67,0.7914881
Fund 2-Fund 68,0.753701
Fund 2-Fund 69,0.84888804
Fund 2-Fund 70,0.83645374
Fund 2-Fund 71,0.84465504
Fund 2-Fund 72,0.85804
Fund 2-Fund 73,0.81931925
Fund 2-Fund 74,0.79164404
Fund 2-Fund 75,0.8067121
Fund 2-Fund 76,0.86074543
Fund 2-Fund 77,0.7795147
Fund 2-Fund 78,0.7011903
Fund 2-Fund 79,0.7929638
Fund 2-Fund 80,0.88344234
Fund 2-Fund 81,0.83532625
Fund 2-Fund 82,0.83927184
Fund 2-Fund 83,0.5832623
Fund 2-Fund 84,0.72366995
Fund 2-Fund 85,0.71092886
Fund 2-Fund 86,0.83739257
Fund 2-Fund 87,0.7192455
Fund 2-Fund 88,0.83539546
Fund 2-Fund 89,0.67000824
Fund 2-Fund 90,0.836418
