ID,value
Fund 1-Fund 2,0.7090961
Fund 1-Fund 3,0.7433475
Fund 1-Fund 4,0.79730767
Fund 1-Fund 5,0.82661176
Fund 1-Fund 6,0.6125151
Fund 1-Fund 7,0.6417396
Fund 1-Fund 8,0.6193601
Fund 1-Fund 9,0.7865904
Fund 1-Fund 10,0.6788533
Fund 1-Fund 11,0.7114932
Fund 1-Fund 12,0.61859506
Fund 1-Fund 13,0.8274383
Fund 1-Fund 14,0.80698353
Fund 1-Fund 15,0.64689803
Fund 1-Fund 16,0.7645157
Fund 1-Fund 17,0.7881036
Fund 1-Fund 18,0.7269003
Fund 1-Fund 19,0.7609095
Fund 1-Fund 20,0.77788156
Fund 1-Fund 21,0.7255276
Fund 1-Fund 22,0.6762252
Fund 1-Fund 23,0.6127417
Fund 1-Fund 24,0.752985
Fund 1-Fund 25,0.6938865
Fund 1-Fund 26,0.6549759
Fund 1-Fund 27,0.626705
Fund 1-Fund 28,0.850354
Fund 1-Fund 29,0.656936
Fund 1-Fund 30,0.62455946
Fund 1-Fund 31,0.76016915
Fund 1-Fund 32,0.7755237
Fund 1-Fund 33,0.72826904
Fund 1-Fund 34,0.70236284
Fund 1-Fund 35,0.71056074
Fund 1-Fund 36,0.6642331
Fund 1-Fund 37,0.6270499
Fund 1-Fund 38,0.762648
Fund 1-Fund 39,0.6600209
Fund 1-Fund 40,0.77072346
Fund 1-Fund 41,0.8364561
Fund 1-Fund 42,0.64220566
Fund 1-Fund 43,0.57565725
Fund 1-Fund 44,0.64544004
Fund 1-Fund 45,0.80666125
Fund 1-Fund 46,0.7279304
Fund 1-Fund 47,0.7861877
Fund 1-Fund 48,0.67160136
Fund 1-Fund 49,0.76492465
Fund 1-Fund 50,0.7557282
Fund 1-Fund 51,0.8033831
Fund 1-Fund 52,0.64555305
Fund 1-Fund 53,0.7491039
Fund 1-Fund 54,0.812883
Fund 1-Fund 55,0.6811472
Fund 1-Fund 56,0.6940397
Fund 1-Fund 57,0.7305244
Fund 1-Fund 58,0.7778862
Fund 1-Fund 59,0.7429006
Fund 1-Fund 60,0.829518
Fund 1-Fund 61,0.75197065
Fund 1-Fund 62,0.82126755
Fund 1-Fund 63,0.7997102
Fund 1-Fund 64,0.838978
Fund 1-Fund 65,0.6564527
Fund 1-Fund 66,0.79415643
Fund 1-Fund 67,0.8132172
Fund 1-Fund 68,0.7829832
Fund 1-Fund 69,0.6368754
Fund 1-Fund 70,0.6524483
Fund 1-Fund 71,0.65530103
Fund 1-Fund 72,0.7833985
Fund 1-Fund 73,0.7566422
Fund 1-Fund 74,0.70226365
Fund 1-Fund 75,0.78817475
Fund 1-Fund 76,0.6039882
Fund 1-Fund 77,0.8178762
Fund 1-Fund 78,0.7993265
Fund 1-Fund 79,0.7859397
Fund 1-Fund 80,0.626459
Fund 1-Fund 81,0.6741198
Fund 1-Fund 82,0.6257351
Fund 1-Fund 83,0.6444036
Fund 1-Fund 84,0.7308282
Fund 1-Fund 85,0.80689454
Fund 1-Fund 86,0.66559833
Fund 1-Fund 87,0.8126354
Fund 1-Fund 88,0.7980696
Fund 1-Fund 89,0.67682564
Fund 1-Fund 90,0.6454385
Fund 1-Fund 91,0.8030442
Fund 1-Fund 92,0.71703595
Fund 1-Fund 93,0.80606645
Fund 1-Fund 94,0.66750705
Fund 1-Fund 95,0.673896
Fund 1-Fund 96,0.76741827
Fund 1-Fund 97,0.68889505
Fund 1-Fund 98,0.8295968
Fund 1-Fund 99,0.7909047
Fund 1-Fund 100,0.76235795
Fund 1-Fund 101,0.8200702
Fund 1-Fund 102,0.6193166
Fund 1-Fund 103,0.822328
Fund 1-Fund 104,0.68553686
Fund 1-Fund 105,0.79569864
Fund 1-Fund 106,0.7503476
Fund 1-Fund 107,0.719066
Fund 1-Fund 108,0.80892754
Fund 1-Fund 109,0.81168973
Fund 1-Fund 110,0.71753085
Fund 1-Fund 111,0.80462676
Fund 1-Fund 112,0.7519923
Fund 1-Fund 113,0.778159
Fund 1-Fund 114,0.7852678
Fund 1-Fund 115,0.79893106
Fund 1-Fund 116,0.6761257
Fund 1-Fund 117,0.757806
Fund 1-Fund 118,0.7907591
Fund 1-Fund 119,0.65698147
Fund 1-Fund 120,0.606664
Fund 1-Fund 121,0.7399658
Fund 1-Fund 122,0.8120903
Fund 1-Fund 123,0.74165857
Fund 1-Fund 124,0.837892
Fund 1-Fund 125,0.63492
Fund 1-Fund 126,0.7513341
Fund 1-Fund 127,0.80560905
Fund 1-Fund 128,0.68599004
Fund 1-Fund 129,0.7553358
Fund 1-Fund 130,0.7802663
Fund 1-Fund 131,0.68668866
Fund 1-Fund 132,0.6545354
Fund 1-Fund 133,0.77756697
Fund 1-Fund 134,0.72758585
Fund 1-Fund 135,0.767603
Fund 1-Fund 136,0.8171419
Fund 1-Fund 137,0.70968133
Fund 1-Fund 138,0.6580308
Fund 1-Fund 139,0.66724586
Fund 1-Fund 140,0.67534107
