ID,value
Fund 1-Fund 2,0.77680516
Fund 1-Fund 3,0.78021824
Fund 1-Fund 4,0.8067172
Fund 1-Fund 5,0.82952064
Fund 1-Fund 6,0.57147425
Fund 1-Fund 7,0.6398625
Fund 1-Fund 8,0.53777087
Fund 1-Fund 9,0.7938449
Fund 1-Fund 10,0.7777951
Fund 1-Fund 11,0.7493173
Fund 1-Fund 12,0.75036114
Fund 1-Fund 13,0.8080422
Fund 1-Fund 14,0.8104481
Fund 1-Fund 15,0.6745003
Fund 1-Fund 16,0.79482186
Fund 1-Fund 17,0.8063742
Fund 1-Fund 18,0.74904275
Fund 1-Fund 19,0.7968042
Fund 1-Fund 20,0.76421314
Fund 1-Fund 21,0.7665028
Fund 1-Fund 22,0.7764551
Fund 1-Fund 23,0.5981865
Fund 1-Fund 24,0.66634744
Fund 1-Fund 25,0.7803833
Fund 1-Fund 26,0.76047367
Fund 1-Fund 27,0.7030814
Fund 1-Fund 28,0.828136
Fund 1-Fund 29,0.5941685
Fund 1-Fund 30,0.68347996
Fund 1-Fund 31,0.79594123
Fund 1-Fund 32,0.7005032
Fund 1-Fund 33,0.78786933
Fund 1-Fund 34,0.64132124
Fund 1-Fund 35,0.7561225
Fund 1-Fund 36,0.4073679
Fund 1-Fund 37,0.6634131
Fund 1-Fund 38,0.78772503
Fund 1-Fund 39,0.7521858
Fund 1-Fund 40,0.7326467
Fund 1-Fund 41,0.8124415
Fund 1-Fund 42,0.7513476
Fund 1-Fund 43,0.6905721
Fund 1-Fund 44,0.7540812
Fund 1-Fund 45,0.80805826
Fund 1-Fund 46,0.79587936
Fund 1-Fund 47,0.80612534
Fund 1-Fund 48,0.7510896
Fund 1-Fund 49,0.7636353
Fund 1-Fund 50,0.79470915
Fund 1-Fund 51,0.80858356
Fund 1-Fund 52,0.74351156
Fund 1-Fund 53,0.78248763
Fund 1-Fund 54,0.81396884
Fund 1-Fund 55,0.78827995
Fund 1-Fund 56,0.7641932
Fund 1-Fund 57,0.7726071
Fund 1-Fund 58,0.7891725
Fund 1-Fund 59,0.7992411
Fund 1-Fund 60,0.81985515
Fund 1-Fund 61,0.79822063
Fund 1-Fund 62,0.81025636
Fund 1-Fund 63,0.79059064
Fund 1-Fund 64,0.80513656
Fund 1-Fund 65,0.78066146
Fund 1-Fund 66,0.783555
Fund 1-Fund 67,0.81698024
Fund 1-Fund 68,0.727227
Fund 1-Fund 69,0.7401794
