ID,value
Fund 1-Fund 2,0.75942767
Fund 1-Fund 3,0.76497847
Fund 1-Fund 4,0.7993646
Fund 1-Fund 5,0.81678784
Fund 1-Fund 6,0.66553026
Fund 1-Fund 7,0.727989
Fund 1-Fund 8,0.70520645
Fund 1-Fund 9,0.80509907
Fund 1-Fund 10,0.78988916
Fund 1-Fund 11,0.7496118
Fund 1-Fund 12,0.7800126
Fund 1-Fund 13,0.81703544
Fund 1-Fund 14,0.7867381
Fund 1-Fund 15,0.6829732
Fund 1-Fund 16,0.78337806
Fund 1-Fund 17,0.7892018
Fund 1-Fund 18,0.7521452
Fund 1-Fund 19,0.7913183
Fund 1-Fund 20,0.7824922
Fund 1-Fund 21,0.7818399
Fund 1-Fund 22,0.78446966
Fund 1-Fund 23,0.69619083
Fund 1-Fund 24,0.68169177
Fund 1-Fund 25,0.78129274
Fund 1-Fund 26,0.7816536
Fund 1-Fund 27,0.6703251
Fund 1-Fund 28,0.8109377
Fund 1-Fund 29,0.7073693
Fund 1-Fund 30,0.77217215
Fund 1-Fund 31,0.77908796
Fund 1-Fund 32,0.6897169
Fund 1-Fund 33,0.7927847
Fund 1-Fund 34,0.62506247
Fund 1-Fund 35,0.7391349
Fund 1-Fund 36,0.6412611
Fund 1-Fund 37,0.6630183
Fund 1-Fund 38,0.7919424
Fund 1-Fund 39,0.783399
Fund 1-Fund 40,0.71920776
Fund 1-Fund 41,0.8135657
Fund 1-Fund 42,0.7098788
Fund 1-Fund 43,0.713089
Fund 1-Fund 44,0.76752
Fund 1-Fund 45,0.7834904
Fund 1-Fund 46,0.8079084
Fund 1-Fund 47,0.802298
Fund 1-Fund 48,0.71146417
Fund 1-Fund 49,0.7582844
Fund 1-Fund 50,0.7913136
Fund 1-Fund 51,0.79692876
Fund 1-Fund 52,0.7573733
Fund 1-Fund 53,0.76006806
Fund 1-Fund 54,0.8189385
Fund 1-Fund 55,0.78839296
Fund 1-Fund 56,0.76960564
Fund 1-Fund 57,0.73098296
Fund 1-Fund 58,0.7768859
Fund 1-Fund 59,0.7923974
Fund 1-Fund 60,0.8234846
Fund 1-Fund 61,0.7810555
Fund 1-Fund 62,0.7992677
Fund 1-Fund 63,0.7947869
Fund 1-Fund 64,0.7972855
Fund 1-Fund 65,0.7908814
Fund 1-Fund 66,0.75742334
Fund 1-Fund 67,0.80095106
Fund 1-Fund 68,0.7069594
Fund 1-Fund 69,0.75904983
Fund 1-Fund 70,0.7192045
Fund 1-Fund 71,0.74464196
Fund 1-Fund 72,0.8110418
Fund 1-Fund 73,0.78129864
Fund 1-Fund 74,0.7845629
Fund 1-Fund 75,0.7908809
Fund 1-Fund 76,0.7292016
Fund 1-Fund 77,0.80883
Fund 1-Fund 78,0.7761502
Fund 1-Fund 79,0.8044461
Fund 1-Fund 80,0.73538375
Fund 1-Fund 81,0.7584713
Fund 1-Fund 82,0.72911984
Fund 1-Fund 83,0.7074191
Fund 1-Fund 84,0.7846293
Fund 1-Fund 85,0.7736639
Fund 1-Fund 86,0.7414911
Fund 1-Fund 87,0.7663229
Fund 1-Fund 88,0.8215231
Fund 1-Fund 89,0.7282803
Fund 1-Fund 90,0.7655547
Fund 1-Fund 91,0.7810348
Fund 1-Fund 92,0.798881
Fund 1-Fund 93,0.81198335
Fund 1-Fund 94,0.6503893
Fund 1-Fund 95,0.7624232
Fund 1-Fund 96,0.74686056
Fund 1-Fund 97,0.7856879
Fund 1-Fund 98,0.7978913
Fund 1-Fund 99,0.81187946
Fund 1-Fund 100,0.7960213
Fund 1-Fund 101,0.7842072
Fund 1-Fund 102,0.7461037
Fund 1-Fund 103,0.82892674
Fund 1-Fund 104,0.78432816
Fund 1-Fund 105,0.778271
Fund 1-Fund 106,0.80173415
Fund 1-Fund 107,0.79046553
Fund 1-Fund 108,0.7421551
Fund 1-Fund 109,0.810435
Fund 1-Fund 110,0.7617189
Fund 1-Fund 111,0.7988147
Fund 1-Fund 112,0.7921217
Fund 1-Fund 113,0.76018316
Fund 1-Fund 114,0.8262648
Fund 1-Fund 115,0.7787177
Fund 1-Fund 116,0.77399933
Fund 1-Fund 117,0.7903181
Fund 1-Fund 118,0.8085021
Fund 1-Fund 119,0.78630203
Fund 1-Fund 120,0.75180227
Fund 1-Fund 121,0.80139774
Fund 1-Fund 122,0.81151193
Fund 1-Fund 123,0.76156324
Fund 1-Fund 124,0.77695465
Fund 1-Fund 125,0.7395858
Fund 1-Fund 126,0.7768037
Fund 1-Fund 127,0.78446704
